countyfips,BUYER_COUNTY,BUYER_STATE,month,total_pills,average_annual_population,pills_per_person_county_month
01001,AUTAUGA,AL,01,1621770,52612,30.825096936060213
01001,AUTAUGA,AL,02,1669980,52612,31.741427811145748
01001,AUTAUGA,AL,03,1749090,52612,33.24507716870676
01001,AUTAUGA,AL,04,1660690,52612,31.564852124990498
01001,AUTAUGA,AL,05,1746530,52612,33.19641906789326
01001,AUTAUGA,AL,06,1858870,52612,35.33167338249829
01001,AUTAUGA,AL,07,1788560,52612,33.995286246483694
01001,AUTAUGA,AL,08,1830110,52612,34.785030031171594
01001,AUTAUGA,AL,09,1781480,52612,33.86071618642135
01001,AUTAUGA,AL,10,1842220,52612,35.01520565650422
01001,AUTAUGA,AL,11,1866320,52612,35.473276058693834
01001,AUTAUGA,AL,12,1852850,52612,35.217250817304034
01003,BALDWIN,AL,01,5344250,175270,30.491527357790837
01003,BALDWIN,AL,02,5103230,175270,29.11639185257032
01003,BALDWIN,AL,03,5695222,175270,32.493992126433504
01003,BALDWIN,AL,04,5700490,175270,32.5240486107149
01003,BALDWIN,AL,05,5744282,175270,32.773903120899185
01003,BALDWIN,AL,06,5906124,175270,33.69728989558966
01003,BALDWIN,AL,07,5779956,175270,32.977440520340046
01003,BALDWIN,AL,08,6086670,175270,34.72739202373481
01003,BALDWIN,AL,09,5562628,175270,31.73747931762424
01003,BALDWIN,AL,10,6442652,175270,36.758441262052834
01003,BALDWIN,AL,11,6402020,175270,36.526616078051006
01003,BALDWIN,AL,12,6159057,175270,35.140394819421466
01005,BARBOUR,AL,01,630400,27972,22.536822536822537
01005,BARBOUR,AL,02,588580,27972,21.04175604175604
01005,BARBOUR,AL,03,697330,27972,24.92957242957243
01005,BARBOUR,AL,04,640410,27972,22.894680394680396
01005,BARBOUR,AL,05,654220,27972,23.38838838838839
01005,BARBOUR,AL,06,670690,27972,23.97719147719148
01005,BARBOUR,AL,07,677370,27972,24.216001716001717
01005,BARBOUR,AL,08,667170,27972,23.85135135135135
01005,BARBOUR,AL,09,646030,27972,23.095595595595597
01005,BARBOUR,AL,10,720530,27972,25.75897325897326
01005,BARBOUR,AL,11,664210,27972,23.745531245531247
01005,BARBOUR,AL,12,733700,27972,26.22980122980123
01007,BIBB,AL,01,604130,22404,26.965274058203892
01007,BIBB,AL,02,552960,22404,24.68130690948045
01007,BIBB,AL,03,621180,22404,27.726298875200857
01007,BIBB,AL,04,591610,22404,26.406445277628993
01007,BIBB,AL,05,674720,22404,30.11605070523121
01007,BIBB,AL,06,630780,22404,28.15479378682378
