BUYER_STATE,month,total_pills,average_annual_population,pills_per_person_state_month
AL,01,126230379.2,4698683,26.86505542084878
AL,02,126199364.9,4698683,26.858454784032038
AL,03,141069536.7,4698683,30.023207928689803
AL,04,137399698.2,4698683,29.24217237042805
AL,05,147221125.1,4698683,31.33242338331826
AL,06,146539521.05,4698683,31.187360596575683
AL,07,143827186.95,4698683,30.610106480901134
AL,08,144319794.4,4698683,30.71494595400456
AL,09,139143263.8,4698683,29.613247754743192
AL,10,154581297,4698683,32.89885633910608
AL,11,143804445,4698683,30.605266411886053
AL,12,151764852.4,4698683,32.29944484443833
AK,01,10954500,690898,15.855451890148762
AK,02,10332824,690898,14.95564323532562
AK,03,11583854,690898,16.76637361810282
AK,04,11168659,690898,16.16542383969848
AK,05,11699942,690898,16.934398420606225
AK,06,11831014,690898,17.12411093967561
AK,07,11777983,690898,17.047354312792915
AK,08,11973784,690898,17.330755046331006
AK,09,11359933,690898,16.442272231212133
AK,10,11896274,690898,17.218567719113384
AK,11,11379924,690898,16.471207037797186
AK,12,11997385,690898,17.364914936792406
AZ,01,131069145,6256743,20.948462322968997
AZ,02,133188641,6256743,21.287216208177323
AZ,03,149684886,6256743,23.92377088207075
AZ,04,139612495,6256743,22.313925152431544
AZ,05,144207005,6256743,23.04825449918592
AZ,06,143603738,6256743,22.95183580338844
AZ,07,140604515,6256743,22.472477293697377
AZ,08,146904744,6256743,23.479427555199248
AZ,09,140817297,6256743,22.50648572268351
AZ,10,150193253,6256743,24.005021941927293
AZ,11,145385681,6256743,23.236639414468517
AZ,12,155028762,6256743,24.777869572076078
AR,01,69465255,2857450,24.310225900715672
AR,02,66649141,2857450,23.324691945615847
AR,03,74117856,2857450,25.93846121541934
AR,04,73371659,2857450,25.67732033806366
AR,05,75632855,2857450,26.468653869709005
AR,06,76541670,2857450,26.786704929220107
AR,07,75417329,2857450,26.393227878003113
AR,08,76600380,2857450,26.807251220493796
AR,09,74682490,2857450,26.136061873348616
AR,10,78136278,2857450,27.344757738543105
AR,11,74856765,2857450,26.197051566956553
AR,12,78997805,2857450,27.646259777073965
CA,01,643428846.36,36587988,17.585794724760486
CA,02,613069839.4,36587988,16.75604133793856
CA,03,690680735.44,36587988,18.877253798159114
CA,04,661315799.4,36587988,18.07466973587069
CA,05,665570320.5,36587988,18.190951645113692
CA,06,686890788.5,36587988,18.773669339237784
CA,07,671310382.5,36587988,18.34783542893914
CA,08,680232055,36587988,18.59167700065934
CA,09,658099046.5,36587988,17.986751457882843
CA,10,693424216.8,36587988,18.952236914475865
CA,11,665174556.9,36587988,18.180134881972737
CA,12,710596384.38,36587988,19.42157585653521
CO,01,77261859,4879029,15.835499030647286
CO,02,77278761,4879029,15.838963244530827
CO,03,87882731,4879029,18.012340365265302
CO,04,81764041,4879029,16.75826091626018
CO,05,85028434,4879029,17.427327035768798
CO,06,86544696,4879029,17.738098297837542
CO,07,85964490,4879029,17.619179963882157
CO,08,88682360,4879029,18.17623137718591
CO,09,84460205,4879029,17.31086349353529
CO,10,88959632.25,4879029,18.233060768853804
CO,11,86245495,4879029,17.676774415565063
CO,12,89607936,4879029,18.365936336922775
CT,01,53277258.83984,3537289,15.061607587008018
CT,02,50747614.36,3537289,14.346471085625177
CT,03,57449920.396,3537289,16.241228917399738
CT,04,53890348,3537289,15.234929348436047
CT,05,56326384,3537289,15.923602510284006
CT,06,59581169,3537289,16.843737958645733
CT,07,56479133,3537289,15.966785015304094
CT,08,57679180.013066,3537289,16.306041155547653
CT,09,55341309.00562,3537289,15.64511947019879
CT,10,58279731,3537289,16.475818345631357
CT,11,56252550,3537289,15.902729463156671
CT,12,60046532.2609,3537289,16.975297257560804
DC,01,4500230,585410,7.68731316513213
DC,02,4472400,585410,7.639773833723373
DC,03,5193925,585410,8.872286090090705
DC,04,4924810,585410,8.41258263439299
DC,05,4806510,585410,8.210502041304386
DC,06,5144320,585410,8.787550605558497
DC,07,4824080,585410,8.240515194479084
DC,08,4982000,585410,8.510274850105054
DC,09,4741750,585410,8.099878717480056
DC,10,4834430,585410,8.258195111118702
DC,11,4777400,585410,8.160776208127636
DC,12,4982350,585410,8.51087272168224
DE,01,21509140,878712,24.478031482442486
DE,02,21068810,878712,23.97692304190679
DE,03,23946135,878712,27.251403190123728
DE,04,22164355,878712,25.223685348555613
DE,05,23324800,878712,26.544305756607397
DE,06,23703396,878712,26.97515909649578
DE,07,23182970,878712,26.382899061353434
DE,08,23707658,878712,26.980009377361412
DE,09,22821467,878712,25.97149805624596
DE,10,23149795,878712,26.34514493941132
DE,11,23238460,878712,26.446048307067617
DE,12,24360290,878712,27.722723713799287
FL,01,452927074.25,18481446,24.507123211571216
FL,02,437737491.95,18481446,23.685240427074806
FL,03,487132263.9,18481446,26.3579085694918
FL,04,466012052.6,18481446,25.215129411410775
FL,05,472196009,18481446,25.549732905098445
FL,06,472356447,18481446,25.558413935792686
FL,07,452353657.9,18481446,24.476096616033182
FL,08,463494565,18481446,25.078912385968067
FL,09,443740294.5,18481446,24.010041990220895
FL,10,467433383.5,18481446,25.292035239017554
FL,11,454663811.5,18481446,24.601095146992286
FL,12,486506020,18481446,26.324023563957063
GA,01,171942195.301104,9470332,18.155878305122144
GA,02,170274204.431,9470332,17.979750280243607
GA,03,191282316.5,9470332,20.198058156778455
GA,04,187057206.5,9470332,19.751916458683812
GA,05,195505200.925,9470332,20.643964849912336
GA,06,194394698.375,9470332,20.526703644074992
GA,07,189828913.22225,9470332,20.044589062162764
GA,08,193420533.06925,9470332,20.423838685829597
GA,09,183465211.0495,9470332,19.372627173947016
GA,10,199682208.175125,9470332,21.085027238234627
GA,11,191136316.203875,9470332,20.182641559332346
GA,12,201448601.101,9470332,21.27154582341992
HI,01,17872464,1325736,13.48116367059505
HI,02,16796927,1325736,12.66988827338173
HI,03,18531124,1325736,13.977989584653354
HI,04,18147626,1325736,13.68871781410477
HI,05,18175759,1325736,13.70993847945594
HI,06,18316432.5,1325736,13.81604821774471
HI,07,18570147,1325736,14.007424555115046
HI,08,18608174,1325736,14.036108244778749
HI,09,17863706,1325736,13.474557528799098
HI,10,19061778,1325736,14.37826083021054
HI,11,18132904,1325736,13.677613039096773
HI,12,18902717,1325736,14.258281437631625
ID,01,30365601,1520749,19.96752981589993
ID,02,28762722,1520749,18.913523533469363
ID,03,32407484,1520749,21.310212270400967
ID,04,30658693,1520749,20.160258530500432
ID,05,32033088,1520749,21.064020426776544
ID,06,32423731,1520749,21.320895821729952
ID,07,32760874,1520749,21.54259118368646
ID,08,33148795,1520749,21.79767667116664
ID,09,31791275,1520749,20.905011280625533
ID,10,33718787,1520749,22.172486715427727
ID,11,32371048,1520749,21.286253024003305
ID,12,34501202,1520749,22.686979902666383
IL,01,151033568,12747324,11.848256779226762
IL,02,144594803.5,12747324,11.343149628894661
IL,03,162226923.5,12747324,12.726351311067328
IL,04,154958321,12747324,12.15614516427134
IL,05,162771879,12747324,12.769101891502876
IL,06,166445033,12747324,13.05725287911408
IL,07,161050447,12747324,12.634059273930749
IL,08,169275268,12747324,13.279278694100817
IL,09,159380683.5,12747324,12.50306993844355
IL,10,168574703,12747324,13.22432088491671
IL,11,165047579,12747324,12.947625634996019
IL,12,176864545.5,12747324,13.874641101144052
IN,01,157687336,6405249,24.618455270044926
IN,02,155794195,6405249,24.322894394893936
IN,03,175540019,6405249,27.405651052753765
IN,04,169079465,6405249,26.397016727999176
IN,05,178841921,6405249,27.92115045020108
IN,06,182152399,6405249,28.437988749539635
IN,07,178157716,6405249,27.814331027568173
IN,08,185984944,6405249,29.036333169873647
IN,09,182067065,6405249,28.424666238580265
IN,10,184725743,6405249,28.83974424725721
IN,11,179890277,6405249,28.084821839088534
IN,12,193714039,6405249,30.243014596309994
IA,01,45037244,3010521,14.95995012159025
IA,02,42108760,3010521,13.987200222154238
IA,03,46502945,3010521,15.446809705031123
IA,04,45379826,3010521,15.073745042801562
IA,05,47478977,3010521,15.771016711060977
IA,06,47545740,3010521,15.793193271197909
IA,07,47068197,3010521,15.634568568031913
IA,08,49123868.5,3010521,16.317397719530938
IA,09,46363762,3010521,15.400577508012733
IA,10,48450190,3010521,16.093622997481166
IA,11,47804585,3010521,15.87917340553346
IA,12,50063320,3010521,16.629453838720938
KS,01,69253507,2803449,24.702966595789686
KS,02,65940635,2803449,23.5212536414966
KS,03,73350024,2803449,26.164208444669406
KS,04,70265098,2803449,25.063804620665472
KS,05,74305652,2803449,26.505084272979463
KS,06,74232682,2803449,26.479055620416137
KS,07,72929058,2803449,26.01404840965539
KS,08,75670518,2803449,26.991936717949926
KS,09,71805647,2803449,25.613323802216485
KS,10,79370595,2803449,28.311767041240987
KS,11,72549195,2803449,25.878549957570122
KS,12,75488810,2803449,26.927120842933114
KY,01,149208812.2,4279971,34.86210822456507
KY,02,144651311,4279971,33.797264280529006
KY,03,160784236,4279971,37.56666482085977
KY,04,154984591,4279971,36.21159839634427
KY,05,160246471,4279971,37.44101794147671
KY,06,162881676,4279971,38.05672421612203
KY,07,160077473,4279971,37.40153215991417
KY,08,163808331,4279971,38.27323386069672
KY,09,156741795,4279971,36.622162860449286
KY,10,164060195,4279971,38.33208098839922
KY,11,157730326,4279971,36.85312961232681
KY,12,166172816,4279971,38.82568737031162
LA,01,110505003,4424220,24.977284809525745
LA,02,105091117,4424220,23.75359204560352
LA,03,116867406,4424220,26.415369488859053
LA,04,111816870,4424220,25.27380419599387
LA,05,115576787,4424220,26.123652756870136
LA,06,117668076,4424220,26.596343762290303
LA,07,115946966,4424220,26.20732377684654
LA,08,119332117,4424220,26.972464524820193
LA,09,113371660,4424220,25.625231114185098
LA,10,118330311,4424220,26.74602777438735
LA,11,112173370,4424220,25.35438337153216
LA,12,117933535,4424220,26.65634507325585
ME,01,31395130,1326120,23.67442614544687
ME,02,30037227,1326120,22.65045923445842
ME,03,34196202,1326120,25.786657316079992
ME,04,31404150,1326120,23.681227943172562
ME,05,32710260,1326120,24.666138810967333
ME,06,34556280,1326120,26.05818477965795
ME,07,33742410,1326120,25.444462039634423
ME,08,34587345,1326120,26.081610261514793
ME,09,32841020,1326120,24.764742255602812
ME,10,34839100,1326120,26.27145356378005
ME,11,32500760,1326120,24.508159140952554
